state,city,visit_cnt,cctv_cnt,sclight_cnt,smalight_cnt,strlamp_cnt,crime_rate,avg_pop_density,new_state
강원도,강릉시,26334028.0,1699.0,12301.0,64.0,99994.0,0.0271,90.36,강원도 강릉시
강원도,고성군,11612683.0,422.0,99992.0,94.0,99994.0,0.0271,90.36,강원도 고성군
강원도,동해시,6798468.0,330.0,4555.0,184.0,99994.0,0.0271,90.36,강원도 동해시
강원도,삼척시,8614642.0,932.0,7813.0,46.0,99994.0,0.0271,90.36,강원도 삼척시
강원도,속초시,19495563.0,441.0,3118.0,99993.0,99994.0,0.0271,90.36,강원도 속초시
강원도,양구군,1828609.0,296.0,190.0,22.0,99994.0,0.0271,90.36,강원도 양구군
강원도,양양군,12223645.0,347.0,4391.0,40.0,99994.0,0.0271,90.36,강원도 양양군
강원도,영월군,6076641.0,281.0,2.0,99993.0,99994.0,0.0271,90.36,강원도 영월군
강원도,원주시,18754440.0,2820.0,10937.0,986.0,99994.0,0.0271,90.36,강원도 원주시
강원도,인제군,4844677.0,280.0,2034.0,99993.0,99994.0,0.0271,90.36,강원도 인제군
강원도,정선군,8151609.0,515.0,99992.0,13.0,99994.0,0.0271,90.36,강원도 정선군
강원도,철원군,4682440.0,684.0,3776.0,99993.0,99994.0,0.0271,90.36,강원도 철원군
강원도,춘천시,20571796.0,955.0,11336.0,27.0,12850.0,0.0271,90.36,강원도 춘천시
강원도,태백시,3006113.0,216.0,3077.0,56.0,99994.0,0.0271,90.36,강원도 태백시
강원도,평창군,13399820.0,190.0,6747.0,99993.0,99994.0,0.0271,90.36,강원도 평창군
강원도,홍천군,15125927.0,428.0,1191.0,37.0,99994.0,0.0271,90.36,강원도 홍천군
강원도,화천군,2436790.0,239.0,99992.0,99993.0,99994.0,0.0271,90.36,강원도 화천군
강원도,횡성군,8203706.0,779.0,8165.0,99993.0,99994.0,0.0271,90.36,강원도 횡성군
경기도,가평군,22165414.0,99991.0,9119.0,206.0,99994.0,0.2489,1303.4,경기도 가평군
경기도,고양시,75590328.0,1945.0,12095.0,165.0,42.0,0.2489,1303.4,경기도 고양시
경기도,과천시,11689863.0,346.0,1118.0,195.0,99994.0,0.2489,1303.4,경기도 과천시
경기도,광명시,19988936.0,781.0,2251.0,121.0,99994.0,0.2489,1303.4,경기도 광명시
경기도,광주시,24572754.0,2609.0,13306.0,6596.0,7529.0,0.2489,1303.4,경기도 광주시
경기도,구리시,14650351.0,608.0,3241.0,23.0,99994.0,0.2489,1303.4,경기도 구리시
경기도,군포시,12981628.0,826.0,2616.0,781.0,99994.0,0.2489,1303.4,경기도 군포시
경기도,김포시,27252137.0,1394.0,499.0,956.0,19499.0,0.2489,1303.4,경기도 김포시
경기도,남양주시,32359722.0,4769.0,14346.0,2895.0,99994.0,0.2489,1303.4,경기도 남양주시
경기도,동두천시,5186687.0,472.0,3161.0,434.0,99994.0,0.2489,1303.4,경기도 동두천시
경기도,부천시,35880751.0,2052.0,19365.0,50.0,99994.0,0.2489,1303.4,경기도 부천시
경기도,성남시,72943910.0,2958.0,10253.0,2652.0,99994.0,0.2489,1303.4,경기도 성남시
경기도,수원시,89140646.0,4358.0,15994.0,203.0,24704.0,0.2489,1303.4,경기도 수원시
경기도,시흥시,29339680.0,1760.0,10621.0,1538.0,99994.0,0.2489,1303.4,경기도 시흥시
경기도,안산시,40341932.0,2600.0,12933.0,2404.0,21173.0,0.2489,1303.4,경기도 안산시
경기도,안성시,16722693.0,1404.0,19944.0,12.0,99994.0,0.2489,1303.4,경기도 안성시
경기도,안양시,37310529.0,2371.0,99992.0,1425.0,99994.0,0.2489,1303.4,경기도 안양시
경기도,양주시,18266354.0,1299.0,9987.0,982.0,99994.0,0.2489,1303.4,경기도 양주시
경기도,양평군,17775311.0,2551.0,10000.0,321.0,1830.0,0.2489,1303.4,경기도 양평군
경기도,여주시,15958339.0,667.0,7984.0,42.0,99994.0,0.2489,1303.4,경기도 여주시
경기도,연천군,5752900.0,530.0,4675.0,147.0,99994.0,0.2489,1303.4,경기도 연천군
경기도,오산시,12377728.0,650.0,8091.0,17.0,99994.0,0.2489,1303.4,경기도 오산시
경기도,용인시,77271845.0,2173.0,19949.0,99993.0,99994.0,0.2489,1303.4,경기도 용인시
경기도,의왕시,13791999.0,1339.0,2221.0,55.0,10462.0,0.2489,1303.4,경기도 의왕시
경기도,의정부시,21491635.0,1723.0,4881.0,30.0,99994.0,0.2489,1303.4,경기도 의정부시
경기도,이천시,18611759.0,6423.0,11111.0,706.0,99994.0,0.2489,1303.4,경기도 이천시
경기도,파주시,33382554.0,3594.0,4604.0,6817.0,99994.0,0.2489,1303.4,경기도 파주시
경기도,평택시,24993680.0,2321.0,10561.0,1740.0,99994.0,0.2489,1303.4,경기도 평택시
경기도,포천시,21473221.0,1400.0,10000.0,34.0,99994.0,0.2489,1303.4,경기도 포천시
경기도,하남시,26398271.0,1867.0,3448.0,633.0,99994.0,0.2489,1303.4,경기도 하남시
경기도,화성시,52221879.0,11327.0,17499.0,99993.0,43553.0,0.2489,1303.4,경기도 화성시
경상남도,거제시,17161520.0,695.0,8557.0,75.0,99994.0,0.0722,316.54,경상남도 거제시
경상남도,거창군,4982448.0,1975.0,6994.0,76.0,99994.0,0.0722,316.54,경상남도 거창군
경상남도,고성군,6947294.0,383.0,5092.0,16.0,99994.0,0.0722,316.54,경상남도 고성군
경상남도,김해시,25778962.0,4329.0,10960.0,333.0,99994.0,0.0722,316.54,경상남도 김해시
경상남도,남해군,8308463.0,840.0,6154.0,56.0,99994.0,0.0722,316.54,경상남도 남해군
